QueryKey;geocoder_status;place_id;types
3534401 OSASCO 2020-06-12 12:02:00 EW;OK;ChIJi7CwjTj_zpQR30k7haFlrcY;"c(""establishment"", ""premise"")"
3534401 OSASCO 2020-06-12 12:02:00 EW;OK;ChIJW7bFZWz_zpQRHIrlJ2KiucA;street_address
3534401 OSASCO 2020-06-12 12:02:00 EW;OK;ChIJNZJnEDD-zpQRoFqXvGHEhi8;street_address
3534401 OSASCO 2020-06-12 12:02:02 NS;OK;ChIJNXvHjp3-zpQRGwIFZJucdAg;street_address
3534401 OSASCO 2020-06-12 12:02:02 NS;OK;ChIJW7bFZWz_zpQRHIrlJ2KiucA;street_address
3534401 OSASCO 2020-06-12 12:02:02 NS;OK;ChIJ4_B25UFVzpQRh6nNoTfX8-c;street_address
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:05 EW;OK;ChIJkbeMHUPHuZQRwZikbBCg9XE;street_address
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:05 EW;OK;ChIJe9TCUKa_uZQR6_xfI6Y1Ags;"c(""establishment"", ""park"", ""point_of_interest"")"
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:05 EW;OK;ChIJ5TwQu9G9uZQReOYLEsWLj-M;street_address
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:09 NS;OK;ChIJ21ZuIoe_uZQRQ-vR4tmCrSg;"c(""establishment"", ""general_contractor"", ""point_of_interest"")"
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:09 NS;OK;ChIJe9TCUKa_uZQR6_xfI6Y1Ags;"c(""establishment"", ""park"", ""point_of_interest"")"
3543402 RIBEIRÃO PRETO 2020-06-12 12:02:09 NS;OK;ChIJ-xvgu6C5uZQR93RfLVLrYVY;street_address
3170206 UBERLÂNDIA 2020-06-12 12:02:11 EW;OK;ChIJ1ZVKkLdPpJQREMhUIPGxcOc;"c(""establishment"", ""point_of_interest"", ""transit_station"")"
3170206 UBERLÂNDIA 2020-06-12 12:02:11 EW;OK;ChIJR6l_V6xFpJQR_rGO0reUpJs;street_address
3170206 UBERLÂNDIA 2020-06-12 12:02:11 EW;OK;ChIJp-RUZaBDpJQRpwx6odZcp2Y;street_address
3170206 UBERLÂNDIA 2020-06-12 12:02:12 NS;OK;ChIJW1MUjPRGpJQRmTnMrCoQQiI;street_address
3170206 UBERLÂNDIA 2020-06-12 12:02:12 NS;OK;ChIJR6l_V6xFpJQR_rGO0reUpJs;street_address
3170206 UBERLÂNDIA 2020-06-12 12:02:12 NS;OK;ChIJJxKTAeFapJQR884KH1mUJMM;street_address
3552205 SOROCABA 2020-06-12 12:02:13 EW;OK;ChIJcTSKY1tgz5QRYz5xvficA6w;street_address
3552205 SOROCABA 2020-06-12 12:02:13 EW;OK;ChIJcULsJKOKxZQRMEl-8CXbeiA;street_address
3552205 SOROCABA 2020-06-12 12:02:13 EW;OK;ChIJl-TJfqn0xZQRYjGQGcnmEH8;street_address
3552205 SOROCABA 2020-06-12 12:02:17 NS;OK;ChIJobQQ9L31xZQRU4Y9MOcQLXU;street_address
